ticker,date,close
504646.BO,2026-07-07,486.4500122070313
504646.BO,2026-07-08,499.0
504646.BO,2026-07-09,502.6499938964844
504646.BO,2026-07-10,500.0
504646.BO,2026-07-13,495.5499877929688
505036.BO,2026-07-06,2310.449951171875
505036.BO,2026-07-07,2293.35009765625
505036.BO,2026-07-08,2229.14990234375
505036.BO,2026-07-09,2276.199951171875
505036.BO,2026-07-10,2332.39990234375
505036.BO,2026-07-13,2352.800048828125
505216.BO,2026-07-06,2850.14990234375
505216.BO,2026-07-07,2791.800048828125
505216.BO,2026-07-08,2795.0
505216.BO,2026-07-09,2791.25
505216.BO,2026-07-10,2787.550048828125
505216.BO,2026-07-13,2726.75
505302.BO,2026-07-06,2400.0
505302.BO,2026-07-07,2367.449951171875
505302.BO,2026-07-08,2300.0
505302.BO,2026-07-09,2429.75
505302.BO,2026-07-10,2324.75
505302.BO,2026-07-13,2389.949951171875
505685.BO,2026-07-06,33.63999938964844
505685.BO,2026-07-07,33.63999938964844
505685.BO,2026-07-08,33.63999938964844
505685.BO,2026-07-09,33.63999938964844
505685.BO,2026-07-10,33.63999938964844
505685.BO,2026-07-13,35.31999969482422
505750.BO,2026-07-06,256.54998779296875
505750.BO,2026-07-07,252.9499969482422
505750.BO,2026-07-08,250.1499938964844
505750.BO,2026-07-09,251.1000061035156
505750.BO,2026-07-10,255.6999969482422
505750.BO,2026-07-13,249.6999969482422
505807.BO,2026-07-06,540.0
505807.BO,2026-07-07,540.0
505807.BO,2026-07-08,540.0
505807.BO,2026-07-09,540.0
505807.BO,2026-07-10,540.0
505807.BO,2026-07-13,540.0
505827.BO,2026-07-06,383.5
505827.BO,2026-07-07,378.7000122070313
505827.BO,2026-07-08,379.5
505827.BO,2026-07-09,384.5
505827.BO,2026-07-10,380.6499938964844
505827.BO,2026-07-13,381.7999877929688
505893.BO,2026-07-06,840.5499877929688
505893.BO,2026-07-07,833.6500244140625
505893.BO,2026-07-08,834.9000244140625
505893.BO,2026-07-09,832.2999877929688
505893.BO,2026-07-10,824.9000244140625
505893.BO,2026-07-13,818.7000122070312
506128.BO,2026-07-06,145.9499969482422
506128.BO,2026-07-07,145.0
506128.BO,2026-07-08,142.0500030517578
506128.BO,2026-07-09,145.5
506128.BO,2026-07-10,142.6999969482422
506128.BO,2026-07-13,159.14999389648438
506166.BO,2026-07-06,58.630001068115234
506166.BO,2026-07-07,58.34000015258789
506166.BO,2026-07-08,57.77000045776367
506166.BO,2026-07-09,55.88999938964844
506166.BO,2026-07-10,55.9900016784668
506166.BO,2026-07-13,55.09999847412109
506597.BO,2026-07-06,595.7000122070312
506597.BO,2026-07-07,625.0499877929688
506597.BO,2026-07-08,592.9000244140625
506597.BO,2026-07-09,594.3499755859375
506597.BO,2026-07-10,614.75
506597.BO,2026-07-13,633.1500244140625
506906.BO,2026-07-06,42.06999969482422
506906.BO,2026-07-07,41.02999877929688
506906.BO,2026-07-08,42.59000015258789
506906.BO,2026-07-09,43.880001068115234
506906.BO,2026-07-10,42.0099983215332
506906.BO,2026-07-13,43.93000030517578
506981.BO,2026-07-06,124.0
506981.BO,2026-07-07,124.0
506981.BO,2026-07-08,123.5999984741211
506981.BO,2026-07-09,120.9499969482422
506981.BO,2026-07-10,120.9000015258789
506981.BO,2026-07-13,120.9000015258789
507543.BO,2026-07-10,2.5799999237060547
507753.BO,2026-07-06,104.25
507753.BO,2026-07-07,103.4499969482422
507753.BO,2026-07-08,101.3499984741211
507753.BO,2026-07-09,101.6999969482422
507753.BO,2026-07-10,101.6999969482422
507753.BO,2026-07-13,102.25
507852.BO,2026-07-06,86.5999984741211
507852.BO,2026-07-07,83.25
507852.BO,2026-07-08,84.8499984741211
507852.BO,2026-07-09,83.9000015258789
507852.BO,2026-07-10,83.66999816894531
507852.BO,2026-07-13,83.80999755859375
507946.BO,2026-07-06,15.300000190734863
507946.BO,2026-07-07,15.949999809265137
507946.BO,2026-07-08,15.979999542236328
507946.BO,2026-07-09,15.979999542236328
507946.BO,2026-07-10,15.979999542236328
507946.BO,2026-07-13,15.979999542236328
508807.BO,2026-07-06,649.0
508807.BO,2026-07-07,630.0
508807.BO,2026-07-08,621.1500244140625
508807.BO,2026-07-09,619.2999877929688
508807.BO,2026-07-10,622.1500244140625
508807.BO,2026-07-13,628.7999877929688
509046.BO,2026-07-06,46.5
509046.BO,2026-07-07,45.56999969482422
509046.BO,2026-07-08,45.56999969482422
509046.BO,2026-07-09,43.400001525878906
509046.BO,2026-07-10,41.38999938964844
509046.BO,2026-07-13,41.38999938964844
509053.BO,2026-07-06,7.179999828338623
509053.BO,2026-07-07,7.159999847412109
509053.BO,2026-07-08,7.010000228881836
509053.BO,2026-07-09,7.03000020980835
509053.BO,2026-07-10,7.03000020980835
509053.BO,2026-07-13,6.980000019073486
509099.BO,2026-07-06,74.9000015258789
