symbol,name,exchange,isin
BANDHANBNK,Bandhan Bank Limited,NSE,INE545U01014
BANG,Bang Overseas Limited,NSE,INE863I01016
BANKA,Banka BioLoo Limited,NSE,INE862Y01015
BANKBARODA,Bank of Baroda,NSE,INE028A01039
BANKINDIA,Bank of India,NSE,INE084A01016
BANSALWIRE,Bansal Wire Industries Limited,NSE,INE0B9K01025
BANSWRAS,Banswara Syntex Limited,NSE,INE629D01020
BASF,BASF India Limited,NSE,INE373A01013
BASML,Bannari Amman Spinning Mills Limited,NSE,INE186H01022
BATAINDIA,Bata India Limited,NSE,INE176A01028
BATLIBOI,Batliboi Limited,NSE,INE177C01022
BAYERCROP,Bayer Cropscience Limited,NSE,INE462A01022
BBL,Bharat Bijlee Limited,NSE,INE464A01036
BBOX,Black Box Limited,NSE,INE676A01027
BBTC,The Bombay Burmah Trading Corporation Limited,NSE,INE050A01025
BBTCL,B&B Triplewall Containers Limited,NSE,INE01EE01011
BCG,Brightcom Group Limited,NSE,INE425B01027
BCLIND,Bcl Industries Limited,NSE,INE412G01024
BCONCEPTS,Brand Concepts Limited,NSE,INE977Y01011
BCPL,BCPL Railway Infrastructure Limited,NSE,INE00SW01015
BDL,Bharat Dynamics Limited,NSE,INE171Z01026
BEARDSELL,Beardsell Limited,NSE,INE520H01022
BECTORFOOD,Mrs. Bectors Food Specialities Limited,NSE,INE495P01020
BEDMUTHA,Bedmutha Industries Limited,NSE,INE844K01012
BEEKAY,Beekay Steel Industries Limited,NSE,INE213D01015
BEL,Bharat Electronics Limited,NSE,INE263A01024
BELLACASA,Bella Casa Fashion & Retail Limited,NSE,INE344T01014
BELRISE,Belrise Industries Limited,NSE,INE894V01022
BEML,BEML Limited,NSE,INE258A01024
BENARAS,Benares Hotels Limited,NSE,INE664D01019
BENGALASM,Bengal & Assam Company Limited,NSE,INE083K01017
BEPL,Bhansali Engineering Polymers Limited,NSE,INE922A01025
BERGEPAINT,Berger Paints (I) Limited,NSE,INE463A01038
BESTAGRO,Best Agrolife Limited,NSE,INE052T01021
BETA,Beta Drugs Limited,NSE,INE351Y01019
BFINVEST,BF Investment Limited,NSE,INE878K01010
BFUTILITIE,BF Utilities Limited,NSE,INE243D01012
BGRENERGY,BGR Energy Systems Limited,NSE,INE661I01014
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,NSE,INE414D01027
BHAGERIA,Bhageria Industries Limited,NSE,INE354C01027
BHAGYANGR,Bhagyanagar India Limited,NSE,INE458B01036
BHANDARI,Bhandari Hosiery Exports Limited,NSE,INE474E01029
BHARATCOAL,Bharat Coking Coal Limited,NSE,INE05XR01022
BHARATFORG,Bharat Forge Limited,NSE,INE465A01025
BHARATGEAR,Bharat Gears Limited,NSE,INE561C01019
BHARATRAS,Bharat Rasayan Limited,NSE,INE838B01021
BHARATSE,Bharat Seats Limited,NSE,INE415D01024
BHARATWIRE,Bharat Wire Ropes Limited,NSE,INE316L01019
BHARTIARTL,Bharti Airtel Limited,NSE,INE397D01024
BHARTIHEXA,Bharti Hexacom Limited,NSE,INE343G01021
BHEL,Bharat Heavy Electricals Limited,NSE,INE257A01026
BI,Bilcare Limited,NSE,INE986A01012
BIGBLOC,Bigbloc Construction Limited,NSE,INE412U01025
BIKAJI,Bikaji Foods International Limited,NSE,INE00E101023
BIL,Bhartiya International Limited,NSE,INE828A01016
BILVYAPAR,BIL VYAPAR LIMITED,NSE,INE071A01013
BIMETAL,Bimetal Bearings Limited,NSE,INE469A01019
BIOCON,Biocon Limited,NSE,INE376G01013
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,NSE,INE829A01014
BIRLACABLE,Birla Cable Limited,NSE,INE800A01015
BIRLACORPN,Birla Corporation Limited,NSE,INE340A01012
BIRLAMONEY,Aditya Birla Money Limited,NSE,INE865C01022
BIRLANU,BirlaNu Limited,NSE,INE557A01011
BIRLAPREC,Birla Precision Technologies Limited,NSE,INE372E01025
BLACKBUCK,BLACKBUCK LIMITED,NSE,INE0UIZ01018
BLACKROSE,Black Rose Inds. Limited,NSE,INE761G01016
BLAL,BEML Land Assets Limited,NSE,INE0N7W01012
BLBLIMITED,BLB Limited,NSE,INE791A01024
BLEL,Behari Lal Engineering Limited,NSE,INE1EEM01017
BLIL,Balmer Lawrie Investments Limited,NSE,INE525F01025
BLISSGVS,Bliss GVS Pharma Limited,NSE,INE416D01022
BLKASHYAP,B. L. Kashyap and Sons Limited,NSE,INE350H01032
BLS,BLS International Services Limited,NSE,INE153T01027
BLSE,BLS E-Services Limited,NSE,INE0NLT01010
BLUECHIP,Blue Chip India Limited,NSE,INE657B01025
BLUECLOUDS,Blue Cloud Softech Solutions Limited,NSE,INE373T01047
BLUECOAST,Blue Coast Hotels Limited,NSE,INE472B01011
BLUEDART,Blue Dart Express Limited,NSE,INE233B01017
BLUEJET,Blue Jet Healthcare Limited,NSE,INE0KBH01020
BLUESTARCO,Blue Star Limited,NSE,INE472A01039
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,NSE,INE304W01038
BLUSPRING,Bluspring Enterprises Limited,NSE,INE0U4101014
BMWVENTLTD,BMW Ventures Limited,NSE,INE965W01036
BNAGROCHEM,BN Agrochem Limited,NSE,INE00HZ01011
BNALTD,B & A Limited,NSE,INE489D01011
BODALCHEM,Bodal Chemicals Limited,NSE,INE338D01028
BOHRAIND,Bohra Industries Limited,NSE,INE802W01023
BOMDYEING,Bombay Dyeing & Mfg Company Limited,NSE,INE032A01023
BONLON,Bonlon Industries Limited,NSE,INE0B9A01018
BORANA,Borana Weaves Limited,NSE,INE16SF01016
BOROLTD,Borosil Limited,NSE,INE02PY01013
BORORENEW,BOROSIL RENEWABLES LIMITED,NSE,INE666D01022
BOROSCI,Borosil Scientific Limited,NSE,INE02L001032
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,NSE,INE782A01015
BOSCHLTD,Bosch Limited,NSE,INE323A01026
BPCL,Bharat Petroleum Corporation Limited,NSE,INE029A01011
BPL,BPL Limited,NSE,INE110A01019
BPLPHARMA,Bharat Parenterals Limited,NSE,INE365Y01019
BRAHMINFRA,Brahmaputra Infrastructure Limited,NSE,INE320I01017
BRIGADE,Brigade Enterprises Limited,NSE,INE791I01019
BRIGHOTEL,Brigade Hotel Ventures Limited,NSE,INE03NU01014
BRIGHTBR,Bright Brothers Limited,NSE,INE630D01010
BRITANNIA,Britannia Industries Limited,NSE,INE216A01030
BRNL,Bharat Road Network Limited,NSE,INE727S01012
BROOKS,Brooks Laboratories Limited,NSE,INE650L01011
BSE,BSE Limited,NSE,INE118H01025
BSHSL,Bombay Super Hybrid Seeds Limited,NSE,INE032Z01020
BSL,BSL Limited,NSE,INE594B01012
BSOFT,BIRLASOFT LIMITED,NSE,INE836A01035
BTML,Bodhi Tree Multimedia Limited,NSE,INE0EEJ01023
BTTL,Bhilwara Technical Textiles Limited,NSE,INE274K01012
BUILDPRO,Shankara Buildpro Limited,NSE,INE24OJ01011
BURNPUR,Burnpur Cement Limited,NSE,INE817H01022
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,NSE,INE295F01017
BVCL,Barak Valley Cements Limited,NSE,INE139I01011
BYKE,The Byke Hospitality Ltd,NSE,INE319B01014
CALSOFT,California Software Company Limited,NSE,INE526B01014
CAMLINFINE,Camlin Fine Sciences Limited,NSE,INE052I01032
CAMPUS,Campus Activewear Limited,NSE,INE278Y01022
CAMS,Computer Age Management Services Limited,NSE,INE596I01020
CANBK,Canara Bank,NSE,INE476A01022
CANFINHOME,Can Fin Homes Limited,NSE,INE477A01020
CANHLIFE,Canara HSBC Life Insurance Company Limited,NSE,INE01TY01017
CANTABIL,Cantabil Retail India Limited,NSE,INE068L01024
CAPACITE,Capacit'e Infraprojects Limited,NSE,INE264T01014
CAPILLARY,Capillary Technologies India Limited,NSE,INE0ILV01024
CAPITALSFB,Capital Small Finance Bank Limited,NSE,INE646H01017
CAPLIPOINT,Caplin Point Laboratories Limited,NSE,INE475E01026
CAPTRUST,Capital Trust Limited,NSE,INE707C01018
CARBORUNIV,Carborundum Universal Limited,NSE,INE120A01034
CARERATING,CARE Ratings Limited,NSE,INE752H01013
CARRARO,Carraro India Limited,NSE,INE0V7W01012
CARTRADE,Cartrade Tech Limited,NSE,INE290S01011
CARYSIL,CARYSIL LIMITED,NSE,INE482D01024
CASTROLIND,Castrol India Limited,NSE,INE172A01027
CCAVENUE,AvenuesAI Limited,NSE,INE483S01020
CCCL,Consolidated Construction Consortium Limited,NSE,INE429I01024
CCHHL,Country Club Hospitality & Holidays Limited,NSE,INE652F01027
CCL,CCL Products (India) Limited,NSE,INE421D01022
CDSL,Central Depository Services (India) Limited,NSE,INE736A01011
CEATLTD,CEAT Limited,NSE,INE482A01020
