ticker,name,exchange,yf_symbol
544190.BO,3C IT Solutions and Telecoms (,BSE,3CIT.BO
544191.BO,Purple Finance Limited,BSE,PURPLEFIN.BO
544193.BO,Zerodha Mutual Fund,BSE,MID150CASE.BO
544194.BO,Zerodha Mutual Fund,BSE,TOP100CASE.BO
544195.BO,United Cotfab Limited,BSE,COTFAB.BO
544196.BO,BARODA BNP PARIBAS MUTUAL FUND,BSE,BBNPNBETF.BO
544199.BO,GEM Enviro Management Limited,BSE,GEMENVIRO.BO
544201.BO,DINDIGUL FARM PRODUCT LIMITED,BSE,DFPL.BO
544205.BO,National Peroxide Limited,BSE,NPL.BO
544206.BO,SBI Mutual Fund,BSE,SBISILVER.BO
544208.BO,Shriram Mutual Fund,BSE,LIQUIDSHRI.BO
544211.BO,Aditya Birla Sun Life Mutual F,BSE,ABGSEC.BO
555555.BO,ICICI Prudential BSE Sensex ET,BSE,SENSEXIETF.BO
570001.BO,TATA MOTORS LTD - DVR,BSE,TATAMTRDVR.BO
590095.BO,NIPPON INDIA ETF GOLD BEES,BSE,GOLDBEES.BO
590096.BO,NIPPON INDIA ETF LIQUID BEES,BSE,LIQUIDBEES.BO
590097.BO,KOTAK MAHINDRA MUTUAL FUND - K,BSE,GOLD1.BO
590098.BO,SBI MUTUAL FUND - SBI GOLD EXC,BSE,SETFGOLD.BO
590099.BO,QUANTUM GOLD FUND - EXCHANGE T,BSE,QGOLDHALF.BO
590101.BO,UTI MUTUAL FUND - UTI GOLD EXC,BSE,GOLDSHARE.BO
590103.BO,NIPPON INDIA ETF NIFTY BEES,BSE,NIFTYBEES.BO
590104.BO,NIPPON INDIA ETF JUNIOR BEES,BSE,JUNIORBEES.BO
590106.BO,NIPPON INDIA ETF BANK BEES,BSE,BANKBEES.BO
590107.BO,KOTAK MAHINDRA MUTUAL FUND - K,BSE,PSUBANK.BO
590108.BO,NIPPON INDIA ETF PSU BANK BEES,BSE,PSUBNKBEES.BO
590109.BO,NIPPON INDIA ETF SHARIAH BEES,BSE,SHARIABEES.BO
590110.BO,Quantum Nifty 50 ETF,BSE,QNIFTY.BO
590113.BO,NIPPON INDIA ETF HANG SENG BEE,BSE,HNGSNGBEES.BO
590115.BO,MOTILAL OSWAL MUTUAL FUND,BSE,MOM50.BO
590136.BO,Kotak Mahindra Mutual Fund - P,BSE,BANKNIFTY1.BO
590137.BO,SBI Mutual Fund-Permitted,BSE,SETFNIFBK.BO
590138.BO,SBI Mutual Fund-Permitted,BSE,SETFNIF50.BO
5PAISA.NS,5Paisa Capital Limited,NSE,5PAISA.NS
63MOONS.NS,63 moons technologies limited,NSE,63MOONS.NS
717504.BO,MBL-0.1%-19-1-26-NCRPS,BSE,MBLNCRPS.BO
750872.BO,SPRIGHT AGRO LIMITED,BSE,SPRIGHT-RE.BO
750874.BO,Srestha Finvest Limited,BSE,SRESTHA-RE.BO
800254.BO,SOVEREIGN GOLD BOND TRANCHE IV,BSE,SGBAUG24.BO
800259.BO,SOVEREIGN GOLD BOND 2016 TRANC,BSE,SGBNOV24.BO
800275.BO,SOVEREIGN GOLD BOND 2017 SERIE,BSE,SGBNOV25.BO
800278.BO,SOVEREIGN GOLD BOND 2017 SERIE,BSE,SGBDEC25.BO
800281.BO,SOVEREIGN GOLD BOND 2017 SERIE,BSE,SGBDEC2513.BO
800290.BO,SOVEREIGN GOLD BOND 2019 SERIE,BSE,SGBDEC26.BO
800295.BO,SOVEREIGN GOLD BOND 2019-20 SE,BSE,SGBJUN27.BO
