ticker,name,sector,price,market_cap,pe,pb,roe_pct,de,eps,earnings_yield,dividend_yield_pct,profit_margin,rev_growth,ni_growth,debt_growth,years_of_data,revenue_y0,revenue_y1,revenue_y2,revenue_y3,net_income_y0,net_income_y1,net_income_y2,net_income_y3,total_debt_y0,total_debt_y1,total_debt_y2,total_debt_y3,equity_y0,equity_y1,equity_y2,equity_y3,roe_y0,roe_y1,roe_y2,roe_y3,de_y0,de_y1,de_y2,de_y3,cash_conversion,earnings_spike,non_op_pct,quality_pass,graham_pass,greenblatt_pass,dorsey_pass,trajectory_pass,score,updated_date
504340.BO,Longspur International Ventures Limited,,7.88,107562000.0,131.33334,0.37105054,,,,0.76,,,-56.07,-12.52,253.64,5,41286000.0,93989000.0,24487000.0,132155000.0,5291000.0,6048000.0,4531000.0,730000.0,100710000.0,28478000.0,540000.0,4887000.0,301230000.0,295939000.0,289891000.0,217360000.0,1.76,2.04,1.56,0.34,33.43,9.62,0.19,2.25,-2.91,1.0,-53.87,False,False,False,False,False,0,2026-06-22
504356.BO,"504356.BO,0P0000CCZ3,335",,9.95,49797460.0,26.18421,0.995,,,,3.82,,,,-373.89,-27.14,5,0.0,0.0,3545795.75,3380056.64,-4678000.0,1708000.0,1914919.15,1955871.49,1033000.0,1417762.0,1298330.0,828185.0,46524000.0,51201820.31,49498422.31,47583503.16,-10.06,3.34,3.87,4.11,2.22,2.77,2.62,1.74,,-2.58,,True,False,False,False,False,0,2026-06-22
504365.BO,"504365.BO,0P0000B7EX,0",,3.92,,0.32078558,,,,,311.73,,,-69.37,-28.45,,4,1744000.0,5693000.0,2235000.0,1175000.0,10706000.0,14962000.0,4532000.0,7895000.0,,,,,498610000.0,567373000.0,427819000.0,454665000.0,2.15,2.64,1.06,1.74,,,,,-0.82,1.1,,False,False,False,False,False,0,2026-06-22
504369.BO,"504369.BO,0P0000TKLQ,10239",,2.37,314074752.0,,20.256409,,,,,,,139.0,-95.16,-47.06,5,5332000.0,2231000.0,1266000.0,0.0,-703000.0,-14538000.0,-248000.0,16545000.0,1350000.0,2550000.0,200000.0,200000.0,-7000.0,696000.0,15234000.0,15483000.0,,-2088.79,-1.63,106.86,,366.38,1.31,1.29,,,,True,False,False,False,True,1,2026-06-22
504375.BO,"504375.BO,0P0000EIBR,0",,85.05,,,-0.29511476,,,,,,,,7.04,69.68,5,0.0,0.0,0.0,0.0,-2312000.0,-2160000.0,-1528000.0,-2589000.0,67943000.0,40042000.0,38902000.0,37662000.0,-73469000.0,-45389000.0,-43229000.0,-41701000.0,,,,,,,,,,,,True,False,False,False,False,0,2026-06-22
504378.BO,Nyssa Corporation Limited,,6.38,195299456.0,7.5058823,0.63495225,,,,13.32,,,-87.17,-3482.61,-20.0,5,5250000.0,40932000.0,84641003.0,60944000.0,-120218000.0,3554000.0,23456183.0,7414000.0,12000000.0,15000000.0,23632000.0,132000.0,184787000.0,305004445.0,301450864.0,278031000.0,-65.06,1.17,7.78,2.67,6.49,4.92,7.84,0.05,,-8.9,,True,True,False,False,False,1,2026-06-22
504380.BO,"504380.BO,0P00014ZRV,1222",,67.85,1232725888.0,28.995728,2.8430755,,,,3.45,,,-13.68,-91.61,-24.46,5,4317265000.0,5001456000.0,3321592000.0,4178536000.0,3101000.0,36955000.0,21855000.0,94830000.0,859052000.0,1137189000.0,1133407000.0,720163000.0,471511000.0,468782000.0,433587000.0,416530000.0,0.66,7.88,5.04,22.77,182.19,242.58,261.4,172.9,180.31,0.11,-3124.57,True,False,False,False,False,0,2026-06-22
504392.BO,Krishna Ventures Limited,,86.87,991525504.0,,8.581449,,,,,,,448.62,-134.12,,5,94687000.0,17259000.0,21935000.0,40511000.0,2987000.0,-8755000.0,-4696000.0,-375000.0,,34300000.0,0.0,736000.0,108880000.0,105893000.0,114565000.0,119260000.0,2.74,-8.27,-4.1,-0.31,,32.39,,0.62,-0.66,,88.12,False,False,False,False,False,0,2026-06-22
504605.BO,"504605.BO,0P0000BQL2,711",,2739.9,5549256192.0,18.319738,4.7813416,,,,5.46,,,13.31,733.59,-5.07,5,2187841000.0,1930861000.0,1790460000.0,1621828000.0,2798621000.0,335730000.0,354598000.0,185294000.0,125261000.0,131951000.0,194328000.0,134620000.0,4145959000.0,1416191000.0,1131754000.0,815846000.0,67.5,23.71,31.33,22.71,3.02,9.32,17.17,16.5,0.09,8.11,83.38,False,False,False,False,True,1,2026-06-22
504646.BO,"504646.BO,0P0000CFD6,129",,461.65,1360182400.0,21.827423,3.1409247,,,,4.58,,,22.37,111.26,-18.7,5,1712463000.0,1399444000.0,1308668000.0,1509586000.0,130098000.0,61582000.0,69302000.0,77209000.0,90809000.0,111702000.0,84000000.0,108000000.0,588778000.0,464841000.0,408819000.0,344228000.0,22.1,13.25,16.95,22.43,15.42,24.03,20.55,31.37,1.27,1.99,-51.76,True,False,False,False,True,1,2026-06-22
